ts,symbol,action,side,qty,price,stop,reason,note,lev,fee,pnl,regime
2025-09-20T03:57:10.933202+00:00,BTC/USDT,OPEN,short,16.71836124015349,115355.1,115373.04434249211,,,,,,
2025-09-20T03:57:11.932264+00:00,ETH/USDT,OPEN,short,5.142617933608015,4461.07,4463.154106817629,,,,,,
2025-09-20T03:58:12.999628+00:00,BTC/USDT,OPEN,short,0.36274647348211586,115380.5,115400.55954251818,,,,,,
2025-09-20T03:58:14.515335+00:00,ETH/USDT,OPEN,long,0.4631990603121655,4462.91,4460.754451832609,,,,,,
2025-09-20T03:59:15.581773+00:00,BTC/USDT,OPEN,short,0.03364716627249724,115394.3,115414.75835070566,,,,,,
2025-09-20T03:59:17.123941+00:00,ETH/USDT,OPEN,long,0.0459897981556285,4463.86,4461.555970579259,,,,,,
2025-09-20T04:00:18.209370+00:00,BTC/USDT,OPEN,short,0.003953856049194278,115394.2,115413.21132565525,,,,,,
2025-09-20T04:00:19.852388+00:00,ETH/USDT,OPEN,long,0.04480939204857338,4463.35,4461.0504420684965,,,,,,
2025-09-20T04:01:21.004206+00:00,BTC/USDT,OPEN,short,0.001733410181184699,115379.5,115399.24521055743,,,,,,
2025-09-20T04:01:22.486016+00:00,ETH/USDT,OPEN,short,0.044825862729760566,4461.71,4464.116732364968,,,,,,
2025-09-20T04:02:23.484345+00:00,BTC/USDT,OPEN,short,0.0017334116835414294,115379.4,115400.58585878291,,,,,,
2025-09-20T04:03:25.656592+00:00,BTC/USDT,OPEN,short,0.0017331623279836388,115396.0,115417.38686886986,,,,,,
2025-09-20T04:04:27.835274+00:00,BTC/USDT,OPEN,short,0.001733527372830599,115371.7,115393.26841905262,,,,,,
2025-09-20T04:04:29.396218+00:00,ETH/USDT,OPEN,short,0.04483299708585519,4461.0,4463.426283165391,,,,,,
2025-09-20T04:05:30.411909+00:00,BTC/USDT,OPEN,short,0.001733527372830599,115371.7,115391.742103406,,,,,,
2025-09-20T04:05:31.884940+00:00,ETH/USDT,OPEN,short,0.04483018326578919,4461.28,4463.562977225006,,,,,,
2025-09-20T04:07:13.245581+00:00,BTC/USDT,OPEN,short,14.36979828894771,115398.6,115419.47711977355,,,,,,
2025-09-20T04:07:14.262953+00:00,ETH/USDT,OPEN,long,21.29704805146891,4463.25,4460.843008704677,,,,,,
2025-09-20T04:08:14.937979+00:00,BTC/USDT,CLOSE_CMD_ALL,short,14.36979828894771,115398.5,-827.6896040945877,,,,,,
2025-09-20T04:08:15.234861+00:00,ETH/USDT,CLOSE_CMD_ALL,long,21.29704805146891,4463.24,-47.73988885313838,,,,,,
2025-09-20T04:08:16.720328+00:00,BTC/USDT,OPEN,short,0.001733124780651395,115398.5,115417.90018264686,,,,,,
2025-09-20T04:08:17.719853+00:00,ETH/USDT,OPEN,long,0.044812404073447526,4463.05,4460.709426450262,,,,,,
2025-09-20T06:23:33.813400+00:00,BTC/USDT,OPEN,long,1.0531404685986283,115610.2,115595.95688576477,,,,,,
2025-09-20T06:23:35.132430+00:00,ETH/USDT,OPEN,long,7.526287316825724,4472.06,4470.115516877934,,,,,,
2025-09-20T06:33:37.942786+00:00,BTC/USDT,OPEN,long,0.0025946304986706843,115623.4,115613.22189654307,,,,,,
2025-09-20T06:33:39.255623+00:00,ETH/USDT,OPEN,long,0.0670630840076899,4473.4,4471.995358779215,,,,,,
2025-09-20T06:34:39.930146+00:00,BTC/USDT,CLOSE_CMD_ALL,long,0.0025946304986706843,115629.7,-0.04365709709279546,,,,,,
2025-09-20T06:34:40.230233+00:00,ETH/USDT,CLOSE_CMD_ALL,long,0.0670630840076899,4473.33,-0.06469347699734267,,,,,,
2025-09-20T06:34:41.995121+00:00,BTC/USDT,OPEN,long,0.0025944913759106663,115629.6,115619.29890393285,,,,,,
2025-09-20T06:34:43.340282+00:00,ETH/USDT,OPEN,long,0.06706398351120192,4473.34,4471.906200499067,,,,,,
2025-09-20T06:35:44.662564+00:00,BTC/USDT,OPEN,long,0.0025944913759106663,115629.6,115620.0204107948,,,,,,
2025-09-20T06:35:46.429111+00:00,ETH/USDT,OPEN,long,0.06706893121186851,4473.01,4471.630043320562,,,,,,
2025-09-20T06:36:50.707205+00:00,BTC/USDT,OPEN,long,0.0025947853463822203,115616.5,115605.71895288088,,,,,,
2025-09-20T06:36:52.486003+00:00,ETH/USDT,OPEN,long,0.06708407871198568,4472.0,4470.575550430318,,,,,,
2025-09-20T06:37:53.878213+00:00,BTC/USDT,OPEN,long,0.0025947853463822207,115616.5,115606.47474196082,,,,,,
2025-09-20T06:37:55.746774+00:00,ETH/USDT,OPEN,long,0.06706923109597832,4472.99,4471.433011113866,,,,,,
2025-09-20T06:38:57.902780+00:00,ETH/USDT,OPEN,long,0.067078228866445,4472.39,4470.808510320019,,,,,,
2025-09-20T06:40:00.482702+00:00,ETH/USDT,OPEN,short,0.06709413082908218,4471.33,4472.994546539574,,,,,,
2025-09-20T06:41:02.978040+00:00,ETH/USDT,OPEN,short,0.0670942808834975,4471.32,4472.89136464389,,,,,,
2025-09-20T06:42:05.471369+00:00,ETH/USDT,OPEN,short,0.06710028361053205,4470.92,4472.330717473558,,,,,,
