ts,equity,pnl
2025-09-20T03:57:12.354197+00:00,24.255094360444623,0.0
2025-09-20T03:58:14.881542+00:00,2.294551759514105,0.0
2025-09-20T03:59:17.506876+00:00,0.2505601498173991,0.0
2025-09-20T04:00:20.258133+00:00,-0.0775658780385681,0.0
2025-09-20T04:01:22.861224+00:00,-0.27756587803856814,0.0
2025-09-20T04:02:25.002400+00:00,-0.3775658780385681,0.0
2025-09-20T04:03:27.124270+00:00,-0.4775658780385681,0.0
2025-09-20T04:04:29.761351+00:00,-0.677565878038568,0.0
2025-09-20T04:05:32.267882+00:00,-0.877565878038568,0.0
2025-09-20T04:07:14.639645+00:00,123.34567272866009,0.0
2025-09-20T04:08:18.065513+00:00,-752.283820219066,0.0
2025-09-20T04:41:24.256716+00:00,1000.0,0.0
2025-09-20T04:42:25.615806+00:00,1000.0,0.0
2025-09-20T04:43:26.928861+00:00,1000.0,0.0
2025-09-20T04:44:28.241394+00:00,1000.0,0.0
2025-09-20T04:45:29.509819+00:00,1000.0,0.0
2025-09-20T04:46:31.703836+00:00,1000.0,0.0
2025-09-20T04:47:33.050615+00:00,1000.0,0.0
2025-09-20T04:48:34.755000+00:00,1000.0,0.0
2025-09-20T04:49:36.096727+00:00,1000.0,0.0
2025-09-20T04:50:37.384459+00:00,1000.0,0.0
2025-09-20T04:51:38.700356+00:00,1000.0,0.0
2025-09-20T04:52:40.032084+00:00,1000.0,0.0
2025-09-20T04:53:41.449634+00:00,1000.0,0.0
2025-09-20T04:54:42.746417+00:00,1000.0,0.0
2025-09-20T04:55:44.093979+00:00,1000.0,0.0
2025-09-20T04:56:45.426564+00:00,1000.0,0.0
2025-09-20T04:57:01.332183+00:00,1000.0,0.0
2025-09-20T04:58:02.664279+00:00,1000.0,0.0
2025-09-20T04:59:14.938397+00:00,1000.0,0.0
2025-09-20T05:00:16.284946+00:00,1000.0,0.0
2025-09-20T05:03:51.294358+00:00,1000.0,0.0
2025-09-20T05:04:52.609726+00:00,1000.0,0.0
2025-09-20T05:05:54.019928+00:00,1000.0,0.0
2025-09-20T05:06:55.365172+00:00,1000.0,0.0
2025-09-20T05:08:07.355432+00:00,1000.0,0.0
